user_id,month,age,gender,education,occupation,city_tier,monthly_income,housing_rent,groceries,utilities,transport,dining_out,entertainment,healthcare,education_expense,shopping,investments,loan_emi,miscellaneous,total_expenses,monthly_savings,savings_rate,expense_ratio,investment_ratio,has_loan,credit_score,savings_risk,age_group,month_str
USR0026,2023-07-01,43,Male,High School,Salaried,Tier 2,46394,8689,3488,2401,7152,5694,3640,2441,102,10745,11354,0,2782,47134,0,0.0,101.6,24.47,0,478,High Risk,41-50,2023-07
USR0027,2023-07-01,46,Male,Bachelor's,Salaried,Tier 3,59548,11042,11127,1970,1211,6305,2948,4953,499,12945,5268,14915,2846,70761,0,0.0,118.83,8.85,1,500,High Risk,41-50,2023-07
USR0028,2024-09-01,48,Female,Bachelor's,Business Owner,Tier 2,63039,20462,5563,1116,6014,7222,212,1712,827,8046,7257,0,3322,54496,1286,2.04,86.45,11.51,0,547,High Risk,41-50,2024-09
USR0029,2024-11-01,63,Male,Master's,Self-Employed,Tier 2,57111,17050,11906,570,4002,9808,3207,1129,1506,6973,9324,0,3314,59465,0,0.0,104.12,16.33,0,512,High Risk,51-65,2024-11
USR0030,2023-08-01,49,Female,High School,Self-Employed,Tier 2,45512,12828,3802,583,3232,9768,2407,4236,188,5722,7378,10165,3475,56406,0,0.0,123.94,16.21,1,431,High Risk,41-50,2023-08
USR0031,2024-05-01,37,Female,Bachelor's,Salaried,Tier 1,67879,15705,11612,2756,5381,995,5603,2803,1871,13010,16119,0,546,60282,0,0.0,88.81,23.75,0,558,High Risk,31-40,2024-05
USR0032,2022-08-01,36,Male,Master's,Self-Employed,Tier 1,62680,12686,5591,758,1356,3495,4367,1380,459,2949,13438,15943,4354,53338,0,0.0,85.1,21.44,1,488,High Risk,31-40,2022-08
USR0033,2024-01-01,24,Female,High School,Business Owner,Tier 2,78359,27103,5520,3810,4772,593,2345,1239,2318,6302,15553,0,2927,56929,5877,7.5,72.65,19.85,0,555,High Risk,22-30,2024-01
USR0034,2023-05-01,58,Male,Bachelor's,Business Owner,Tier 3,90793,28095,7896,1825,1929,4824,2065,1301,350,1044,21600,0,2758,52087,17106,18.84,57.37,23.79,0,641,Medium Risk,51-65,2023-05
USR0035,2022-01-01,28,Other,Master's,Self-Employed,Tier 1,71465,15033,9643,3803,6944,6893,300,2299,4491,7152,4122,8488,3589,68635,0,0.0,96.04,5.77,1,492,High Risk,22-30,2022-01
USR0036,2024-06-01,42,Female,High School,Salaried,Tier 1,58764,18775,9041,1431,2992,6010,4279,713,113,6827,9065,12242,3643,66066,0,0.0,112.43,15.43,1,449,High Risk,41-50,2024-06
USR0037,2024-04-01,30,Female,High School,Salaried,Tier 3,55094,16626,5311,2829,3698,1220,4576,3332,103,7558,12219,16202,2454,63909,0,0.0,116.0,22.18,1,467,High Risk,22-30,2024-04
USR0038,2024-09-01,60,Female,Bachelor's,Salaried,Tier 1,55153,11549,4305,893,3920,5575,5178,2032,619,11850,8605,0,310,46231,317,0.57,83.82,15.6,0,499,High Risk,51-65,2024-09
USR0039,2023-01-01,39,Male,Bachelor's,Salaried,Tier 3,68919,16217,9875,2965,2568,6825,1512,4838,1531,3128,16840,5904,222,55585,0,0.0,80.65,24.43,1,438,High Risk,31-40,2023-01
USR0040,2023-12-01,25,Female,Bachelor's,Salaried,Tier 2,76437,14308,3967,3777,7659,5599,2996,2657,6678,3951,1917,10870,4016,66478,8042,10.52,86.97,2.51,1,516,Medium Risk,22-30,2023-12
USR0041,2023-10-01,46,Female,Master's,Salaried,Tier 3,72736,12525,10009,3835,5306,4526,4904,2402,1044,9229,7988,18842,2163,74785,0,0.0,102.82,10.98,1,480,High Risk,41-50,2023-10
USR0042,2023-01-01,35,Female,High School,Salaried,Tier 2,70338,20718,7462,1834,7344,5557,649,2880,386,1936,17186,11732,1907,62405,0,0.0,88.72,24.43,1,472,High Risk,31-40,2023-01
USR0043,2022-12-01,30,Female,Bachelor's,Student,Tier 2,10795,2196,8897,3406,6463,7310,3639,2298,943,8587,1024,1407,3282,48428,0,0.0,448.62,9.49,1,300,High Risk,22-30,2022-12
USR0044,2022-07-01,47,Female,Bachelor's,Self-Employed,Tier 2,46766,14685,5458,2429,3991,1606,3701,3366,1801,7161,8646,0,4015,48213,0,0.0,103.09,18.49,0,479,High Risk,41-50,2022-07
USR0045,2024-12-01,23,Male,High School,Business Owner,Tier 2,78841,27525,10585,2220,651,5805,3367,2127,2914,11507,599,0,946,67647,10595,13.44,85.8,0.76,0,585,Medium Risk,22-30,2024-12
USR0046,2024-05-01,41,Male,Bachelor's,Freelancer,Tier 2,50114,8285,6778,1125,3731,8234,5580,4650,1232,12457,8705,0,714,52786,0,0.0,105.33,17.37,0,472,High Risk,41-50,2024-05
USR0047,2024-05-01,49,Female,Bachelor's,Salaried,Tier 1,73510,17981,5730,3650,3406,7174,5831,3316,1705,3562,17176,9787,3239,65381,0,0.0,88.94,23.37,1,517,High Risk,41-50,2024-05
USR0048,2024-02-01,28,Male,Bachelor's,Freelancer,Tier 2,47876,14861,6365,2392,4051,9114,320,3087,560,759,4580,0,3056,44565,0,0.0,93.08,9.57,0,475,High Risk,22-30,2024-02
USR0049,2024-03-01,29,Female,High School,Salaried,Tier 2,48056,14791,9547,3913,1966,2505,3637,4543,189,8051,255,13506,2541,65189,0,0.0,135.65,0.53,1,403,High Risk,22-30,2024-03
USR0050,2023-12-01,56,Female,Bachelor's,Self-Employed,Tier 3,54291,16395,2027,2336,4691,5761,4056,4828,1729,13613,378,0,524,55960,0,0.0,103.07,0.7,0,527,High Risk,51-65,2023-12
USR0051,2024-07-01,35,Male,Bachelor's,Salaried,Tier 2,50738,11152,5491,1061,3923,1263,1275,3730,858,4911,11314,8106,3562,45332,0,0.0,89.35,22.3,1,458,High Risk,31-40,2024-07
USR0052,2022-07-01,38,Male,Master's,Student,Tier 2,20971,5049,8423,3379,4557,9589,4613,989,941,5341,3787,0,3690,46571,0,0.0,222.07,18.06,0,445,High Risk,31-40,2022-07
USR0053,2023-05-01,57,Female,High School,Salaried,Tier 1,62779,16887,7301,3666,5694,9644,2922,1500,392,8461,1674,5101,2707,64275,0,0.0,102.38,2.67,1,492,High Risk,51-65,2023-05
USR0054,2024-09-01,61,Male,Bachelor's,Salaried,Tier 2,69982,24128,8160,2293,3425,6191,901,2147,1658,1218,955,0,3378,53499,15528,22.19,76.45,1.36,0,614,Low Risk,51-65,2024-09
USR0055,2024-10-01,25,Female,Bachelor's,Student,Tier 2,25904,5582,3173,1440,4165,7559,3548,2442,7162,5696,5212,5157,3524,49448,0,0.0,190.89,20.12,1,421,High Risk,22-30,2024-10
USR0056,2023-06-01,23,Male,Master's,Salaried,Tier 3,56231,18816,2338,3922,5235,4979,3868,1294,6783,3227,11384,15497,1762,67721,0,0.0,120.43,20.25,1,468,High Risk,22-30,2023-06
USR0057,2022-05-01,27,Female,Bachelor's,Freelancer,Tier 3,45132,9201,11260,2609,3930,4698,3465,1558,3041,11593,1359,4520,1744,57619,0,0.0,127.67,3.01,1,453,High Risk,22-30,2022-05
USR0058,2022-01-01,63,Male,Master's,Freelancer,Tier 1,45200,15721,2841,1665,1656,9591,5312,3856,345,8046,3407,0,3429,52462,0,0.0,116.07,7.54,0,512,High Risk,51-65,2022-01
USR0059,2022-07-01,25,Female,Master's,Business Owner,Tier 3,96412,27386,2293,2365,7043,4523,220,507,1705,9152,18800,0,725,55919,21693,22.5,58.0,19.5,0,637,Low Risk,22-30,2022-07
USR0060,2024-10-01,50,Male,Master's,Student,Tier 1,25330,6147,11514,3281,7806,4705,2646,1650,540,3354,3327,2949,4833,49425,0,0.0,195.12,13.13,1,383,High Risk,41-50,2024-10
USR0061,2022-03-01,39,Female,Bachelor's,Student,Tier 2,14314,3903,8558,2391,6889,4141,2449,2323,1621,5700,3423,0,1949,39924,0,0.0,278.92,23.91,0,386,High Risk,31-40,2022-03
USR0062,2024-12-01,47,Male,Bachelor's,Salaried,Tier 2,63238,12932,3647,3682,7958,4043,2713,3042,46,4567,7605,0,4922,47552,8081,12.78,75.2,12.03,0,521,Medium Risk,41-50,2024-12
USR0063,2024-11-01,55,Female,Master's,Business Owner,Tier 1,81878,16771,6898,2139,4707,6091,3422,1864,1100,10394,13856,22893,1040,77319,0,0.0,94.43,16.92,1,531,High Risk,51-65,2024-11
USR0064,2022-12-01,31,Female,PhD,Self-Employed,Tier 2,81869,14139,6526,2050,5789,7743,5191,4148,342,11939,10433,0,2465,60332,11104,13.56,73.69,12.74,0,612,Medium Risk,31-40,2022-12
USR0065,2023-03-01,57,Male,Master's,Self-Employed,Tier 1,57121,9871,7614,1281,6218,6616,1382,1594,1214,3477,13465,0,4888,44155,0,0.0,77.3,23.57,0,542,High Risk,51-65,2023-03
USR0066,2022-04-01,35,Male,Bachelor's,Salaried,Tier 1,51806,11373,5801,2194,6229,6833,2557,4272,542,14194,5163,13887,912,68794,0,0.0,132.79,9.97,1,478,High Risk,31-40,2022-04
USR0067,2024-09-01,52,Male,High School,Freelancer,Tier 2,22776,6891,10280,3728,7907,1261,2751,3834,818,14984,1308,0,266,52720,0,0.0,231.47,5.74,0,405,High Risk,51-65,2024-09
USR0068,2023-04-01,36,Female,Bachelor's,Student,Tier 2,22753,6179,9376,3086,3908,2907,2273,414,1704,14601,1857,0,960,45408,0,0.0,199.57,8.16,0,420,High Risk,31-40,2023-04
USR0069,2024-05-01,29,Female,Master's,Business Owner,Tier 3,82504,14068,2899,1096,1661,1385,265,3272,2321,10506,17589,7987,664,46124,18791,22.78,55.91,21.32,1,568,Low Risk,22-30,2024-05
USR0070,2022-06-01,35,Female,Bachelor's,Salaried,Tier 2,51568,16524,5477,2556,6213,6722,4558,4254,756,3980,6419,0,4391,55431,0,0.0,107.49,12.45,0,532,High Risk,31-40,2022-06
USR0071,2023-11-01,44,Male,Bachelor's,Salaried,Tier 2,72513,19598,3744,2823,1759,3143,671,4672,1447,10433,6421,4536,4703,57529,8563,11.81,79.34,8.85,1,528,Medium Risk,41-50,2023-11
USR0072,2023-01-01,61,Male,Master's,Salaried,Tier 2,75337,25778,8096,2774,6267,9927,2414,2659,350,13761,10250,0,3389,75415,0,0.0,100.1,13.61,0,532,High Risk,51-65,2023-01
USR0073,2022-01-01,42,Female,Bachelor's,Business Owner,Tier 1,79774,22658,4253,2733,4590,5610,3425,3906,187,13709,2657,8692,1667,71430,5687,7.13,89.54,3.33,1,531,High Risk,41-50,2022-01
USR0074,2022-12-01,37,Female,Master's,Freelancer,Tier 1,65914,12196,3633,3138,3341,1968,542,3471,1550,12763,88,3695,2960,49257,16569,25.14,74.73,0.13,1,547,Low Risk,31-40,2022-12
USR0075,2024-03-01,39,Other,Bachelor's,Self-Employed,Tier 2,61300,15003,9001,3787,7670,6792,917,1406,333,8721,4299,9153,4656,67439,0,0.0,110.01,7.01,1,441,High Risk,31-40,2024-03
USR0076,2024-01-01,45,Male,Bachelor's,Salaried,Tier 2,56417,15779,9020,2980,6190,8701,2660,609,482,3993,8533,0,1593,52007,0,0.0,92.18,15.12,0,510,High Risk,41-50,2024-01
USR0077,2023-10-01,47,Female,Bachelor's,Salaried,Tier 2,54686,8512,11053,3116,6759,6161,3936,3669,1239,9673,9729,0,3893,58011,0,0.0,106.08,17.79,0,492,High Risk,41-50,2023-10
USR0078,2024-10-01,46,Male,Master's,Self-Employed,Tier 2,69543,10638,10149,3203,6091,9483,3455,415,1181,730,14371,4242,4507,54094,1078,1.55,77.78,20.66,1,503,High Risk,41-50,2024-10
USR0079,2023-06-01,62,Male,High School,Student,Tier 2,18170,3195,6701,855,3702,6563,5990,548,1949,8026,4209,0,1899,39428,0,0.0,217.0,23.16,0,430,High Risk,51-65,2023-06
USR0080,2023-04-01,50,Female,High School,Self-Employed,Tier 1,49357,9887,8735,3390,3481,7515,3465,3851,666,5781,5085,10847,1320,58938,0,0.0,119.41,10.3,1,464,High Risk,41-50,2023-04
USR0081,2024-05-01,36,Female,PhD,Salaried,Tier 1,70228,16567,3013,2540,4054,6823,5534,3078,1264,11468,13001,4955,1771,61067,0,0.0,86.96,18.51,1,511,High Risk,31-40,2024-05
USR0082,2024-06-01,22,Other,High School,Self-Employed,Tier 3,52863,13082,5299,891,3972,9435,4289,3865,554,1751,986,9978,928,54044,0,0.0,102.23,1.87,1,480,High Risk,22-30,2024-06
USR0083,2024-06-01,46,Male,Bachelor's,Salaried,Tier 2,56956,10115,3506,1078,1724,2928,2730,4949,1485,5840,819,0,3704,38059,18078,31.74,66.82,1.44,0,612,Low Risk,41-50,2024-06
USR0084,2023-08-01,28,Male,Bachelor's,Student,Tier 3,22184,6315,6803,3846,4887,9808,3832,3269,4977,7389,692,0,815,51941,0,0.0,234.14,3.12,0,385,High Risk,22-30,2023-08
USR0085,2023-10-01,30,Female,Bachelor's,Salaried,Tier 1,74575,20077,2977,2140,2889,7608,1255,4194,494,13884,8363,11057,570,67145,0,0.0,90.04,11.21,1,504,High Risk,22-30,2023-10
USR0086,2024-10-01,45,Female,Bachelor's,Self-Employed,Tier 3,50713,10593,3817,2967,1514,1854,214,3312,1994,13186,2678,3813,3664,46928,1107,2.18,92.54,5.28,1,482,High Risk,41-50,2024-10
USR0087,2022-04-01,22,Male,Bachelor's,Salaried,Tier 1,50416,7700,6901,2508,6229,6327,3589,202,4916,12882,3616,4703,4927,60884,0,0.0,120.76,7.17,1,478,High Risk,22-30,2022-04
USR0088,2024-07-01,29,Male,Bachelor's,Freelancer,Tier 1,39579,6551,11140,2223,5835,2980,3514,1317,583,2463,6410,5431,1147,43184,0,0.0,109.11,16.2,1,452,High Risk,22-30,2024-07
USR0089,2023-02-01,45,Male,Bachelor's,Freelancer,Tier 3,55954,12776,8798,663,6255,1686,216,1282,1369,13262,5015,7409,1319,55035,0,0.0,98.36,8.96,1,470,High Risk,41-50,2023-02
USR0090,2022-08-01,32,Female,Master's,Freelancer,Tier 1,57037,10311,2473,3326,5180,7409,2781,4702,55,3666,7947,13535,1655,55093,0,0.0,96.59,13.93,1,474,High Risk,31-40,2022-08
USR0091,2022-05-01,38,Male,High School,Salaried,Tier 2,53968,12162,2567,1137,6509,4587,1979,1717,1589,14717,5564,0,2748,49712,0,0.0,92.11,10.31,0,489,High Risk,31-40,2022-05
USR0092,2022-08-01,29,Male,Bachelor's,Salaried,Tier 1,58927,16242,9966,3754,2526,6728,2149,2095,841,2278,2489,15622,2622,64823,0,0.0,110.01,4.22,1,502,High Risk,22-30,2022-08
USR0093,2022-11-01,56,Male,High School,Salaried,Tier 2,58882,15276,4258,3881,4213,3331,280,3779,1800,8552,1089,14959,3811,64140,0,0.0,108.93,1.85,1,497,High Risk,51-65,2022-11
USR0094,2024-05-01,56,Male,Bachelor's,Freelancer,Tier 3,41207,8086,10120,2564,1992,4161,3279,2833,1909,5370,2433,0,2746,43060,0,0.0,104.5,5.9,0,464,High Risk,51-65,2024-05
USR0095,2023-09-01,54,Male,Bachelor's,Salaried,Tier 1,65445,14317,6310,2993,4622,2248,1218,2579,1774,1647,944,8333,1540,47581,16920,25.85,72.7,1.44,1,592,Low Risk,51-65,2023-09
USR0096,2023-01-01,26,Female,High School,Self-Employed,Tier 2,42149,11498,3982,669,2200,8434,979,1212,729,3347,6518,0,4045,37095,0,0.0,88.01,15.46,0,461,High Risk,22-30,2023-01
USR0097,2023-07-01,63,Male,Master's,Business Owner,Tier 1,79818,25715,3096,3851,954,9806,2024,4464,1131,14311,15878,7638,1718,74708,0,0.0,93.6,19.89,1,522,High Risk,51-65,2023-07
USR0098,2022-03-01,60,Female,Bachelor's,Business Owner,Tier 2,74900,22518,8610,839,1417,8052,4064,3023,1733,4350,6361,0,2159,56765,11774,15.72,75.79,8.49,0,570,Medium Risk,51-65,2022-03
USR0099,2024-10-01,62,Male,PhD,Salaried,Tier 1,73996,19289,5570,1225,7223,3764,2669,1048,1920,11683,7161,0,910,55301,11534,15.59,74.74,9.68,0,590,Medium Risk,51-65,2024-10
USR0100,2023-07-01,49,Female,PhD,Self-Employed,Tier 1,69609,15485,8497,2433,513,5872,2713,1904,213,3570,14203,19826,4770,65796,0,0.0,94.52,20.4,1,453,High Risk,41-50,2023-07
USR0101,2024-08-01,28,Female,Bachelor's,Salaried,Tier 1,64883,14469,5646,1534,6741,6274,2330,4293,4946,1120,3610,8240,773,56366,4907,7.56,86.87,5.56,1,490,High Risk,22-30,2024-08
USR0102,2024-12-01,30,Female,High School,Freelancer,Tier 1,10493,3419,4419,2145,4874,5863,524,405,757,1463,312,2931,3043,29843,0,0.0,284.41,2.97,1,347,High Risk,22-30,2024-12
USR0103,2023-02-01,29,Female,Bachelor's,Business Owner,Tier 3,73538,11607,6279,632,6559,8391,3690,2092,7118,7715,9212,0,707,54790,9536,12.97,74.51,12.53,0,561,Medium Risk,22-30,2023-02
USR0104,2022-07-01,33,Male,Master's,Salaried,Tier 2,66867,23242,2673,3448,989,7350,5346,720,549,11552,10802,18514,2422,76805,0,0.0,114.86,16.15,1,462,High Risk,31-40,2022-07
USR0105,2023-08-01,55,Male,Bachelor's,Salaried,Tier 1,75040,21226,4802,3187,1484,1563,876,3776,496,2642,11249,0,4987,45039,18752,24.99,60.02,14.99,0,647,Low Risk,51-65,2023-08
USR0106,2024-08-01,54,Female,High School,Business Owner,Tier 2,63359,18135,9312,3719,1460,7159,2211,2551,172,10192,11307,0,1494,56405,0,0.0,89.02,17.85,0,563,High Risk,51-65,2024-08
USR0107,2024-07-01,44,Other,Bachelor's,Business Owner,Tier 1,81302,12813,4369,1322,2282,4248,5088,2334,104,14868,1153,0,1897,49325,30824,37.91,60.67,1.42,0,683,Low Risk,41-50,2024-07
USR0108,2023-10-01,45,Female,Master's,Salaried,Tier 2,81960,22219,6530,1453,7267,5045,3816,2675,1575,11881,8773,0,987,63448,9739,11.88,77.41,10.7,0,557,Medium Risk,41-50,2023-10
USR0109,2022-05-01,58,Female,Master's,Self-Employed,Tier 3,52496,12964,3066,2626,6850,3232,3333,4745,478,7918,3130,15102,3989,64303,0,0.0,122.49,5.96,1,496,High Risk,51-65,2022-05
USR0110,2024-07-01,56,Female,High School,Salaried,Tier 2,58151,9952,7432,845,6483,2372,2904,985,1422,1826,11035,7626,4867,46714,402,0.69,80.33,18.98,1,458,High Risk,51-65,2024-07
USR0111,2023-03-01,61,Male,Master's,Salaried,Tier 3,63581,13071,10073,1108,2369,5220,1394,4297,433,621,13872,0,2433,41019,8690,13.67,64.51,21.82,0,566,Medium Risk,51-65,2023-03
USR0112,2023-05-01,43,Male,Bachelor's,Business Owner,Tier 2,75962,24920,2687,3820,3804,2469,3275,2990,641,4813,5342,17456,786,67661,2959,3.9,89.07,7.03,1,514,High Risk,41-50,2023-05
USR0113,2023-07-01,48,Female,Bachelor's,Business Owner,Tier 1,73575,19129,2068,1138,6192,9576,1104,2357,692,1576,1751,0,3365,47197,24627,33.47,64.15,2.38,0,680,Low Risk,41-50,2023-07
USR0114,2022-10-01,56,Female,Master's,Freelancer,Tier 2,49145,11435,8774,1547,3144,818,4797,878,990,11889,3113,11718,3850,59840,0,0.0,121.76,6.33,1,476,High Risk,51-65,2022-10
USR0115,2024-10-01,22,Male,Bachelor's,Salaried,Tier 2,84775,13948,2419,1994,7338,4217,5094,3728,1382,1682,2204,5804,4809,52415,30156,35.57,61.83,2.6,1,621,Low Risk,22-30,2024-10
USR0116,2024-01-01,56,Female,Bachelor's,Business Owner,Tier 2,86755,25403,8891,1724,5858,5991,3104,3759,193,14482,6992,0,3449,72854,6909,7.96,83.98,8.06,0,549,High Risk,51-65,2024-01
USR0117,2024-04-01,58,Male,High School,Salaried,Tier 3,63813,18542,7593,2678,4845,1874,3500,570,842,1294,8586,5141,2901,49780,5447,8.54,78.01,13.45,1,540,High Risk,51-65,2024-04
USR0118,2023-03-01,35,Female,Master's,Salaried,Tier 2,73935,20170,8104,2903,6202,5942,1323,3137,800,10316,17997,0,4236,63133,0,0.0,85.39,24.34,0,520,High Risk,31-40,2023-03
USR0119,2023-08-01,24,Male,Master's,Self-Employed,Tier 3,50149,12640,5892,3491,5335,9179,5438,921,6725,4771,5007,5749,755,60896,0,0.0,121.43,9.98,1,463,High Risk,22-30,2023-08
USR0120,2023-01-01,22,Male,Bachelor's,Salaried,Tier 3,66159,15663,2439,649,4168,950,4516,4600,6067,8983,3639,0,1909,49944,12576,19.01,75.49,5.5,0,558,Medium Risk,22-30,2023-01
USR0121,2023-08-01,26,Female,Master's,Freelancer,Tier 2,63583,17081,11478,2049,4901,9044,3257,1123,4651,7826,2651,6255,4175,71840,0,0.0,112.99,4.17,1,488,High Risk,22-30,2023-08
USR0122,2024-07-01,47,Male,High School,Self-Employed,Tier 2,41172,8097,3208,1827,6402,7680,2470,1035,1886,9182,1781,10379,4590,56756,0,0.0,137.85,4.33,1,452,High Risk,41-50,2024-07
USR0123,2023-06-01,35,Female,Bachelor's,Salaried,Tier 1,70722,23921,11270,2064,6532,2440,2924,2693,1561,3308,3405,0,3507,60220,7097,10.04,85.15,4.81,0,533,Medium Risk,31-40,2023-06
USR0124,2024-04-01,60,Female,Bachelor's,Salaried,Tier 3,68634,18377,4563,549,2325,2867,2458,3179,477,3928,13079,0,1710,40433,15122,22.03,58.91,19.06,0,625,Low Risk,51-65,2024-04
USR0125,2022-04-01,48,Female,High School,Salaried,Tier 2,69816,14817,9466,3011,3807,8387,4062,2525,1126,9325,1065,7572,2786,66884,1867,2.67,95.8,1.53,1,511,High Risk,41-50,2022-04
USR0126,2023-12-01,30,Male,Bachelor's,Salaried,Tier 1,59657,14313,3253,3811,3862,747,1130,4124,532,14048,14875,0,3746,49566,0,0.0,83.08,24.93,0,532,High Risk,22-30,2023-12
USR0127,2022-09-01,36,Male,PhD,Self-Employed,Tier 1,61219,19047,5209,2005,3610,4003,3846,2624,1968,3999,7999,0,4276,50587,2633,4.3,82.63,13.07,0,525,High Risk,31-40,2022-09
USR0128,2024-08-01,36,Male,High School,Business Owner,Tier 2,69106,12599,5549,3002,7641,9259,5181,4721,591,2672,9403,3607,3706,58528,1175,1.7,84.69,13.61,1,505,High Risk,31-40,2024-08
